Year,State,ProdValue
1998,AL,1136000
1999,AL,1156000
2000,AL,1248000
2001,AL,1022000
2002,AL,1032000
2003,AL,1066000
2004,AL,1044000
2005,AL,858000
2006,AL,792000
2007,AL,616000
2008,AL,594000
2009,AL,450000
2010,AL,486000
2011,AL,450000
2012,AL,432000
1998,AR,3445000
1999,AR,4628000
2000,AR,4836000
2001,AR,4900000
2002,AR,3960000
2003,AR,3.00E+06
2004,AR,2280000
2005,AR,2484000
2006,AR,2432000
2007,AR,2240000
2008,AR,2100000
2009,AR,1368000
2010,AR,1500000
2011,AR,1408000
2012,AR,1575000
1998,AZ,3300000
1999,AZ,3224000
2000,AZ,2360000
2001,AZ,2537000
2002,AZ,2394000
2003,AZ,2520000
2004,AZ,1760000
2005,AZ,1800000
2006,AZ,1950000
2007,AZ,1920000
2008,AZ,1600000
2009,AZ,1040000
2010,AZ,1848000
2011,AZ,1219000
2012,AZ,1012000
1998,CA,37350000
1999,CA,27900000
2000,CA,30800000
2001,CA,28060000
2002,CA,23500000
2003,CA,32160000
2004,CA,17550000
2005,CA,3.00E+07
2006,CA,19760000
2007,CA,13600000
2008,CA,18360000
2009,CA,11715000
2010,CA,27470000
2011,CA,17760000
2012,CA,11550000
1998,CO,1944000
1999,CO,2052000
2000,CO,1740000
2001,CO,1430000
2002,CO,1440000
2003,CO,2064000
2004,CO,1840000
2005,CO,1960000
2006,CO,2700000
2007,CO,1581000
2008,CO,1215000
2009,CO,1484000
2010,CO,1904000
2011,CO,1705000
2012,CO,1200000
1998,FL,22540000
1999,FL,23256000
2000,FL,24360000
2001,FL,2.20E+07
2002,FL,20460000
2003,FL,14910000
2004,FL,20090000
2005,FL,13760000
2006,FL,13770000
2007,FL,11360000
2008,FL,11850000
2009,FL,11560000
2010,FL,13800000
2011,FL,10980000
2012,FL,12352000
1998,GA,4200000
1999,GA,3315000
2000,GA,3135000
2001,GA,3135000
2002,GA,2600000
2003,GA,3380000
2004,GA,3087000
2005,GA,2891000
2006,GA,4662000
2007,GA,3480000
2008,GA,4615000
2009,GA,2665000
2010,GA,2530000
2011,GA,2795000
2012,GA,3009000
1998,HI,944000
1999,HI,640000
2000,HI,784000
2001,HI,696000
2002,HI,952000
2003,HI,798000
2004,HI,768000
2005,HI,1179000
2006,HI,930000
2007,HI,920000
2008,HI,9.00E+05
2009,HI,950000
2010,HI,770000
2011,HI,666000
2012,HI,750000
1998,IA,3900000
1999,IA,2600000
2000,IA,2010000
2001,IA,1683000
2002,IA,2310000
2003,IA,1888000
2004,IA,2345000
2005,IA,2464000
2006,IA,2184000
2007,IA,2106000
2008,IA,1488000
2009,IA,1092000
2010,IA,1323000
2011,IA,1550000
2012,IA,2257000
1998,ID,6.00E+06
1999,ID,5760000
2000,ID,4700000
2001,ID,4600000
2002,ID,5700000
2003,ID,4600000
2004,ID,6300000
2005,ID,3515000
2006,ID,4180000
2007,ID,3772000
2008,ID,3600000
2009,ID,4738000
2010,ID,2619000
2011,ID,3132000
2012,ID,2944000
1998,IL,639000
1999,IL,594000
2000,IL,488000
2001,IL,456000
2002,IL,720000
2003,IL,420000
2004,IL,385000
2005,IL,680000
2006,IL,660000
2007,IL,567000
2008,IL,448000
2009,IL,272000
2010,IL,369000
2011,IL,350000
2012,IL,427000
1998,IN,828000
1999,IN,810000
2000,IN,520000
2001,IN,532000
2002,IN,496000
2003,IN,280000
2004,IN,413000
2005,IN,512000
2006,IN,378000
2007,IN,424000
2008,IN,469000
2009,IN,288000
2010,IN,430000
2011,IN,408000
2012,IN,472000
1998,KS,736000
1999,KS,871000
2000,KS,1020000
2001,KS,663000
2002,KS,884000
2003,KS,912000
2004,KS,1120000
2005,KS,8.00E+05
2006,KS,770000
2007,KS,560000
2008,KS,610000
2009,KS,567000
2010,KS,468000
2011,KS,308000
2012,KS,330000
1998,KY,150000
1999,KY,150000
2000,KY,192000
2001,KY,312000
2002,KY,270000
2003,KY,240000
2004,KY,280000
2005,KY,250000
2006,KY,280000
2007,KY,244000
2008,KY,156000
2009,KY,175000
2010,KY,335000
2011,KY,156000
2012,KY,255000
1998,LA,4551000
1999,LA,5472000
2000,LA,4042000
2001,LA,4770000
2002,LA,4340000
2003,LA,3060000
2004,LA,3430000
2005,LA,3395000
2006,LA,2700000
2007,LA,2581000
2008,LA,3080000
2009,LA,3811000
2010,LA,2880000
2011,LA,2772000
2012,LA,3526000
1998,MD,308000
1999,MD,276000
2000,MD,276000
2001,MD,184000
2002,MD,138000
