state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
OH,18000,78,1404000,702000,0.83,1165000,1998
OH,20000,74,1480000,784000,0.72,1066000,1999
OH,18000,65,1170000,585000,0.79,924000,2000
OH,18000,81,1458000,569000,1.01,1473000,2001
OH,18000,70,1260000,504000,1.44,1814000,2002
OH,15000,50,750000,278000,1.4,1050000,2003
OH,16000,58,928000,353000,1.53,1420000,2004
OH,15000,69,1035000,580000,1.4,1449000,2005
OH,14000,56,784000,282000,1.4,1098000,2006
OH,14000,61,854000,376000,1.77,1512000,2007
OH,14000,53,742000,371000,1.68,1247000,2008
OH,11000,50,550000,132000,2.81,1546000,2009
OH,18000,62,1116000,346000,2.28,2544000,2010
OH,15000,66,990000,228000,2.34,2317000,2011
OH,18000,60,1080000,410000,2.46,2657000,2012
